Education,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Membership,Age,TotalSpent,RelationshipStatus,Children,HouseHoldSize,Parent
Graduate,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,663,67,1617,Alone,0,1,0
Graduate,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,113,70,27,Alone,2,3,1
Graduate,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,312,59,776,Partner,0,2,0
Graduate,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,139,40,53,Partner,1,3,1
Postgraduate,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,161,43,422,Partner,1,3,1
Postgraduate,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,293,57,716,Partner,1,3,1
Graduate,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,593,53,590,Alone,1,2,1
Postgraduate,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,417,39,169,Partner,1,3,1
Postgraduate,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,388,50,46,Partner,1,3,1
Postgraduate,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,108,74,49,Partner,2,4,1
Undergraduate,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,593,48,61,Partner,0,2,0
Graduate,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,226,65,1102,Alone,0,1,0
Postgraduate,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,226,72,310,Alone,2,3,1
Graduate,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,627,37,46,Partner,0,2,0
Postgraduate,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,582,78,1315,Alone,0,1,0
Graduate,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,552,44,96,Partner,2,4,1
Graduate,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,667,78,317,Partner,0,2,0
Postgraduate,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,458,75,1782,Partner,1,3,1
Undergraduate,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,603,39,133,Alone,1,2,1
Graduate,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,690,42,316,Partner,0,2,0
Graduate,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,539,45,1730,Partner,1,3,1
Postgraduate,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,553,75,972,Partner,1,3,1
Postgraduate,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,169,70,544,Partner,1,3,1
Graduate,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,468,73,444,Partner,1,3,1
Graduate,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,543,55,75,Alone,0,1,0
Graduate,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,398,48,257,Partner,2,4,1
Graduate,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,394,35,131,Partner,1,3,1
Postgraduate,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,219,59,1672,Partner,0,2,0
Postgraduate,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,38,35,30,Alone,0,1,0
Postgraduate,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,414,61,318,Partner,0,2,0
Graduate,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,627,54,120,Partner,1,3,1
Postgraduate,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,608,72,302,Alone,2,3,1
Postgraduate,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,494,78,1196,Partner,0,2,0
Postgraduate,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,304,73,65,Alone,2,3,1
Postgraduate,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,180,54,913,Partner,1,3,1
Undergraduate,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,300,48,81,Partner,1,3,1
Graduate,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,138,51,67,Alone,1,2,1
Graduate,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,426,44,1395,Partner,1,3,1
Postgraduate,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,474,39,53,Partner,1,3,1
Graduate,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,552,67,22,Partner,1,3,1
Postgraduate,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,270,49,31,Partner,1,3,1
Graduate,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,1,48,984,Alone,0,1,0
Undergraduate,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,597,28,122,Partner,0,2,0
Graduate,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,401,56,55,Partner,1,3,1
Postgraduate,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,598,70,1319,Partner,2,4,1
Graduate,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,48,67,507,Alone,1,2,1
Postgraduate,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,687,60,1693,Partner,0,2,0
Graduate,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,543,47,72,Alone,1,2,1
Graduate,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,22,47,1617,Alone,0,1,0
Graduate,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,382,46,606,Partner,2,4,1
Postgraduate,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,587,69,1957,Partner,0,2,0
Graduate,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,453,58,1093,Alone,0,1,0
Graduate,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,62,36,29,Alone,1,2,1
Postgraduate,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,118,56,518,Partner,1,3,1
Postgraduate,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,360,42,1438,Alone,0,1,0
Graduate,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,660,49,612,Partner,2,4,1
Graduate,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,496,72,884,Alone,1,2,1
Postgraduate,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,383,73,606,Alone,1,2,1
Graduate,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,205,76,1076,Partner,0,2,0
Graduate,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,404,53,34,Partner,1,3,1
Graduate,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,49,57,11,Partner,2,4,1
Undergraduate,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,102,45,1274,Alone,1,2,1
Graduate,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,275,66,653,Partner,1,3,1
Graduate,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,447,54,1562,Partner,3,5,1
Postgraduate,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,656,70,1253,Partner,0,2,0
Graduate,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,469,65,863,Partner,1,3,1
Postgraduate,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,450,49,661,Partner,2,4,1
Graduate,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,60,72,65,Partner,0,2,0
Graduate,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,557,47,13,Alone,1,2,1
Postgraduate,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,671,52,1890,Partner,0,2,0
Graduate,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,625,48,2209,Alone,0,1,0
Undergraduate,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,298,48,18,Partner,0,2,0
Graduate,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,543,59,692,Partner,0,2,0
Graduate,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,669,39,165,Alone,1,2,1
Graduate,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,371,55,16,Partner,1,3,1
Undergraduate,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,361,51,79,Partner,1,3,1
Postgraduate,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,414,61,318,Partner,0,2,0
Graduate,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,124,37,778,Alone,0,1,0
Graduate,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,322,64,56,Partner,2,4,1
Postgraduate,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,348,54,151,Partner,2,4,1
Graduate,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,32,67,372,Alone,1,2,1
Graduate,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,48,51,1366,Partner,0,2,0
Graduate,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,159,57,194,Partner,1,3,1
Postgraduate,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,98,52,32,Alone,1,2,1
Postgraduate,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,36,54,43,Partner,1,3,1
Graduate,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,38,41,45,Partner,1,3,1
Graduate,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,584,64,606,Alone,1,2,1
Graduate,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,444,52,63,Alone,2,3,1
Undergraduate,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,210,73,978,Partner,0,2,0
Postgraduate,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,374,41,410,Partner,0,2,0
Undergraduate,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,341,64,72,Alone,1,2,1
Postgraduate,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,91,65,55,Alone,1,2,1
